Open time,open,high,low,close,volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2020-12-25 00:00:00,0.2,3.0885,0.2,2.5826,13125130.77,2020-12-25 05:59:59.999,35530516.326796,48768,6316317.77,17247626.52057,0
2020-12-25 06:00:00,2.5824,2.9762,2.2249,2.6476,41399941.74,2020-12-25 11:59:59.999,109566799.371462,188024,20661302.85,54877944.859817,0
2020-12-25 12:00:00,2.65,2.8,1.7924,1.913,45454434.67,2020-12-25 17:59:59.999,96913798.823914,246541,22080892.2,47159903.499493,0
2020-12-25 18:00:00,1.912,2.5674,1.8783,2.2954,25998045.96,2020-12-25 23:59:59.999,59499726.630579,133651,13028523.86,29858781.53277,0
2020-12-26 00:00:00,2.2958,2.4609,1.9205,1.9447,16920917.69,2020-12-26 05:59:59.999,35797100.013438,95487,8244061.32,17490321.201823,0
2020-12-26 06:00:00,1.9448,1.9877,1.6585,1.7906,15723322.73,2020-12-26 11:59:59.999,28268084.098998,89393,6957195.31,12517248.965119,0
2020-12-26 12:00:00,1.795,1.8345,1.5717,1.6805,15427165.08,2020-12-26 17:59:59.999,26075287.477263,70173,7458550.88,12626238.745898,0
2020-12-26 18:00:00,1.6805,1.7915,1.5877,1.5967,8968296.42,2020-12-26 23:59:59.999,15278425.247394,43108,4236965.48,7244135.127907,0
2020-12-27 00:00:00,1.597,1.6516,1.3758,1.4681,15882069.73,2020-12-27 05:59:59.999,23081400.261176,72872,7794041.91,11291593.821069,0
2020-12-27 06:00:00,1.4682,1.499,1.1601,1.25,19001681.31,2020-12-27 11:59:59.999,24448263.728567,73741,7991888.0,10279640.721912,0
2020-12-27 12:00:00,1.25,1.44,1.19,1.279,25914044.77,2020-12-27 17:59:59.999,33878552.211672,96193,13413564.11,17565920.964493,0
2020-12-27 18:00:00,1.2762,1.3299,1.036,1.0612,16999540.26,2020-12-27 23:59:59.999,19865945.561977,66215,8200550.37,9612617.727376,0
2020-12-28 00:00:00,1.06,1.25,1.0353,1.1773,13942209.08,2020-12-28 05:59:59.999,16028936.710453,51310,7013276.47,8055777.528198,0
2020-12-28 06:00:00,1.1776,1.2787,1.1277,1.1864,11506357.18,2020-12-28 11:59:59.999,13764191.422961,42004,6013272.27,7211942.096199,0
2020-12-28 12:00:00,1.1864,1.2158,1.1024,1.1313,7017904.11,2020-12-28 17:59:59.999,8135326.361782,29377,3429533.97,3982783.65112,0
2020-12-28 18:00:00,1.1301,1.1486,1.058,1.114,6879596.6,2020-12-28 23:59:59.999,7577474.497017,27442,3511933.5,3867807.534737,0
2020-12-29 00:00:00,1.114,1.1166,0.8938,0.937,15646392.6,2020-12-29 05:59:59.999,15159800.323889,48200,6580934.53,6351672.436531,0
2020-12-29 06:00:00,0.937,1.0,0.8502,0.8945,13742160.76,2020-12-29 11:59:59.999,12530404.070388,41941,6053861.91,5523425.681651,0
2020-12-29 12:00:00,0.8942,0.91,0.7541,0.8362,16943929.2,2020-12-29 17:59:59.999,13922060.194664,51819,7853005.83,6457764.248615,0
2020-12-29 18:00:00,0.8362,0.928,0.8133,0.8845,7453550.21,2020-12-29 23:59:59.999,6461458.540019,25772,4125909.26,3580634.818827,0
2020-12-30 00:00:00,0.8845,1.0142,0.8845,0.9051,10897853.64,2020-12-30 05:59:59.999,10305055.954759,37736,5215168.86,4932716.758065,0
2020-12-30 06:00:00,0.9054,0.987,0.8702,0.9645,5933093.45,2020-12-30 11:59:59.999,5530172.162552,21469,2960668.53,2766746.780908,0
2020-12-30 12:00:00,0.9644,1.2574,0.934,1.2051,28106316.77,2020-12-30 17:59:59.999,31800363.626127,96087,14888903.22,16827607.58533,0
2020-12-30 18:00:00,1.2063,1.2129,1.0701,1.0934,12183209.25,2020-12-30 23:59:59.999,13829620.514717,48542,6016768.81,6838979.119066,0
2020-12-31 00:00:00,1.0932,1.33,1.0582,1.2399,12745993.89,2020-12-31 05:59:59.999,15435874.304943,50354,6495873.12,7885154.309628,0
2020-12-31 06:00:00,1.2383,1.3693,1.1985,1.2763,14600519.75,2020-12-31 11:59:59.999,18630143.296312,61175,7821653.77,9991109.440435,0
2020-12-31 12:00:00,1.2763,1.3286,1.198,1.2538,8943644.2,2020-12-31 17:59:59.999,11270277.002607,41045,4436884.56,5604983.11848,0
2020-12-31 18:00:00,1.2529,1.4033,1.243,1.3637,8203292.89,2020-12-31 23:59:59.999,10926457.805124,33070,4518791.11,6026085.929227,0
2021-01-01 00:00:00,1.3623,1.3974,1.2044,1.227,6714790.05,2021-01-01 05:59:59.999,8636344.775164,30053,2877989.18,3706541.202943,0
2021-01-01 06:00:00,1.2264,1.2549,1.1212,1.1725,5228618.51,2021-01-01 11:59:59.999,6175181.134713,22839,2229971.58,2642097.431148,0
2021-01-01 12:00:00,1.1703,1.2164,1.13,1.1466,5264455.76,2021-01-01 17:59:59.999,6181655.007172,23086,2649749.39,3117893.98319,0
2021-01-01 18:00:00,1.1439,1.1911,1.0863,1.155,3072127.94,2021-01-01 23:59:59.999,3472337.109794,15090,1338459.52,1517071.632015,0
2021-01-02 00:00:00,1.1521,1.1607,1.08,1.1075,2473006.66,2021-01-02 05:59:59.999,2748178.844978,12049,1066029.25,1187137.71239,0
2021-01-02 06:00:00,1.1075,1.1172,1.0262,1.07,2232733.46,2021-01-02 11:59:59.999,2385535.077456,10551,895378.69,956892.016059,0
2021-01-02 12:00:00,1.0691,1.1323,1.0604,1.0853,3547170.1,2021-01-02 17:59:59.999,3899144.711544,16104,1649195.4,1814966.141651,0
2021-01-02 18:00:00,1.087,1.0998,1.0,1.025,3669835.94,2021-01-02 23:59:59.999,3828577.986772,16224,1504371.42,1573463.716354,0
2021-01-03 00:00:00,1.0259,1.0692,1.0177,1.03,1662435.0,2021-01-03 05:59:59.999,1729139.39968,7034,776628.84,809016.702229,0
2021-01-03 06:00:00,1.03,1.0473,0.9456,0.9955,4794834.41,2021-01-03 11:59:59.999,4728990.855019,16555,2603124.69,2561038.516856,0
2021-01-03 12:00:00,0.9974,1.1568,0.9952,1.0924,9479412.55,2021-01-03 17:59:59.999,10265053.336466,32276,4709090.9,5104738.695292,0
2021-01-03 18:00:00,1.0924,1.14,1.0665,1.108,4211022.05,2021-01-03 23:59:59.999,4656238.185474,14459,2175428.35,2408046.06074,0
2021-01-04 00:00:00,1.108,1.24,1.0968,1.1747,6372853.22,2021-01-04 05:59:59.999,7517211.141402,23728,3450820.01,4061026.124082,0
2021-01-04 06:00:00,1.1751,1.2084,0.9666,1.0518,7348385.92,2021-01-04 11:59:59.999,7955981.006026,27115,3621802.58,3922432.702091,0
2021-01-04 12:00:00,1.0517,1.0675,1.0066,1.0252,3248844.38,2021-01-04 17:59:59.999,3378281.154333,12010,1476158.7,1536545.514165,0
2021-01-04 18:00:00,1.0246,1.062,1.0061,1.0317,1744366.84,2021-01-04 23:59:59.999,1801259.817019,6192,877291.72,905690.241049,0
2021-01-05 00:00:00,1.0317,1.0783,0.98,1.0059,2305049.3,2021-01-05 05:59:59.999,2394983.343263,12207,983646.5,1027302.797827,0
2021-01-05 06:00:00,1.004,1.139,0.9977,1.1188,5040182.28,2021-01-05 11:59:59.999,5445325.311871,21181,2720534.75,2939990.841584,0
2021-01-05 12:00:00,1.1194,1.2358,1.0505,1.2325,7664713.48,2021-01-05 17:59:59.999,8770151.453728,27661,4066409.59,4674822.536566,0
2021-01-05 18:00:00,1.23,1.38,1.1505,1.2501,6604341.13,2021-01-05 23:59:59.999,8161905.653478,26100,3553909.04,4405677.444328,0
2021-01-06 00:00:00,1.2502,1.2763,1.1885,1.2179,3848484.42,2021-01-06 05:59:59.999,4705743.178289,15578,1980328.27,2420268.274642,0
2021-01-06 06:00:00,1.2179,1.36,1.2056,1.3131,7328939.84,2021-01-06 11:59:59.999,9489270.408967,31261,4183104.02,5412198.897065,0
2021-01-06 12:00:00,1.3107,1.5269,1.272,1.4842,8844850.66,2021-01-06 17:59:59.999,12526954.035941,44008,4839811.99,6845068.996332,0
2021-01-06 18:00:00,1.486,1.5234,1.3228,1.51,6103617.12,2021-01-06 23:59:59.999,8749431.006968,28789,3086923.29,4435142.284956,0
2021-01-07 00:00:00,1.5109,1.549,1.3644,1.4769,5273107.23,2021-01-07 05:59:59.999,7660850.724245,25404,2528288.53,3681936.094812,0
2021-01-07 06:00:00,1.4776,1.538,1.4001,1.4614,3953098.45,2021-01-07 11:59:59.999,5740681.285645,18733,2136617.54,3107985.088752,0
2021-01-07 12:00:00,1.4621,1.615,1.4496,1.5306,8391487.41,2021-01-07 17:59:59.999,12957336.382855,45889,4286848.03,6620306.795151,0
